INFO 2025-12-12 14:22:09,248 autoreload Watching for file changes with StatReloader
INFO 2025-12-12 14:22:13,664 log "GET / HTTP/1.1" 200 12068
WARNING 2025-12-12 14:22:14,536 log Not Found: /favicon.ico
WARNING 2025-12-12 14:22:14,537 log "GET /favicon.ico HTTP/1.1" 404 2208
INFO 2025-12-12 14:22:20,642 log "GET /admin/ HTTP/1.1" 302 0
INFO 2025-12-12 14:22:20,704 log "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4077
INFO 2025-12-12 14:22:20,786 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-12-12 14:22:20,787 log "GET /static/admin/css/responsive.css HTTP/1.1" 200 16194
INFO 2025-12-12 14:22:20,788 log "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2025-12-12 14:22:20,789 log "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-12-12 14:22:20,789 log "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-12-12 14:22:20,790 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2025-12-12 14:22:20,794 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-12-12 14:22:28,711 log "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-12-12 14:22:28,728 log "GET /admin/ HTTP/1.1" 200 13436
INFO 2025-12-12 14:22:28,805 log "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-12-12 14:22:28,806 log "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 978
INFO 2025-12-12 14:22:28,806 log "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 593
INFO 2025-12-12 14:27:36,860 log "GET / HTTP/1.1" 200 12068
WARNING 2025-12-12 14:27:39,789 log Not Found: /api
WARNING 2025-12-12 14:27:39,790 log "GET /api HTTP/1.1" 404 2184
INFO 2025-12-12 14:32:58,788 autoreload /Users/oyediranoyewole/PycharmProjects/RemPro/RemPro/urls.py changed, reloading.
INFO 2025-12-12 14:32:59,491 autoreload Watching for file changes with StatReloader
INFO 2025-12-12 14:33:21,587 autoreload /Users/oyediranoyewole/PycharmProjects/RemPro/RemPro/urls.py changed, reloading.
INFO 2025-12-12 14:33:22,580 autoreload Watching for file changes with StatReloader
INFO 2025-12-12 14:35:21,962 autoreload /Users/oyediranoyewole/PycharmProjects/RemPro/RemPro/urls.py changed, reloading.
INFO 2025-12-12 14:35:22,708 autoreload Watching for file changes with StatReloader
INFO 2025-12-12 14:35:25,840 autoreload Watching for file changes with StatReloader
INFO 2025-12-12 14:35:32,801 log "GET /api HTTP/1.1" 301 0
WARNING 2025-12-12 14:35:32,863 log Unauthorized: /api/
WARNING 2025-12-12 14:35:32,863 log "GET /api/ HTTP/1.1" 401 9838
INFO 2025-12-12 14:35:32,929 log "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-12-12 14:35:32,930 log "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-12-12 14:35:32,936 log "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-12-12 14:35:32,938 log "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-12-12 14:35:32,936 log "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-12-12 14:35:32,937 log "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-12-12 14:35:32,940 log "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-12-12 14:35:32,941 log "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
